# time correlation fidelity
1.458917835671342544e+01 -7.911858585167488300e-01 1.497336063938694828e-07
1.462925851703406721e+01 -7.792662804093178908e-01 1.633862336921983184e-07
1.466933867735470898e+01 -7.662648373013803971e-01 1.821687311881523006e-07
1.470941883767535074e+01 -7.522152038639808858e-01 2.059382388343236056e-07
1.474949899799599073e+01 -7.371531851702846083e-01 2.336731951522997764e-07
1.478957915831663250e+01 -7.211166919088871641e-01 2.635316146605884585e-07
1.482965931863727427e+01 -7.041457245690928568e-01 2.930914868944265349e-07
1.486973947895791603e+01 -6.862822820861080864e-01 3.197163615154548474e-07
1.490981963927855602e+01 -6.675703730055733143e-01 3.409603072679031332e-07
1.494989979959919779e+01 -6.480559951936027963e-01 3.549504735126423463e-07
1.498997995991983956e+01 -6.277871390880480629e-01 3.606832459525920359e-07
1.503006012024047955e+01 -6.068136554886119916e-01 3.581911966336964803e-07
1.507014028056112132e+01 -5.851872570125946638e-01 3.485534911176652564e-07
1.511022044088176308e+01 -5.629614967465622621e-01 3.337682757164526471e-07
1.515030060120240485e+01 -5.401917642297159317e-01 3.165113406768429154e-07
